event_ticker,horizon,date,days_to_release,release_date,settled,actual_cpi_mom,implied_mean,implied_sd,prob_true_bin,abs_error_mean,prob_sum_raw,mono_violation,n_thresholds,avg_spread,day_volume
CPI-23FEB,30,2023-02-12,30,2023-03-14,True,0.4,0.43850000000000006,0.32660029087555936,0.09500000000000004,0.038500000000000034,0.9999999999999999,0.0,5,0.7959999999999999,0.0
CPI-23FEB,14,2023-02-28,14,2023-03-14,True,0.4,0.4225,0.13131545986668897,0.375,0.022499999999999964,1.0,0.004999999999999999,8,0.01750000000000001,4328.0
CPI-23FEB,7,2023-03-07,7,2023-03-14,True,0.4,0.412,0.12188519188154072,0.42000000000000004,0.011999999999999955,1.0,0.0,6,0.016666666666666666,13969.0
CPI-23FEB,1,2023-03-13,1,2023-03-14,True,0.4,0.40700000000000003,0.12961867149450346,0.445,0.007000000000000006,1.0,0.0,15,0.020666666666666677,15457.0
CPI-23JAN,30,2023-01-15,30,2023-02-14,True,0.5,0.29875,0.12790988038458953,0.07,0.20124999999999998,1.0,0.0,6,0.03166666666666667,280.0
CPI-23JAN,14,2023-01-31,14,2023-02-14,True,0.5,0.3845,0.12251428488139658,0.23500000000000001,0.11549999999999999,1.0,0.0,5,0.02000000000000001,2132.0
CPI-23JAN,7,2023-02-07,7,2023-02-14,True,0.5,0.45225,0.1324101110187587,0.39499999999999996,0.047750000000000015,1.0,0.0,7,0.01714285714285712,8857.0
CPI-23JAN,1,2023-02-13,1,2023-02-14,True,0.5,0.463,0.13353276751419485,0.38500000000000006,0.03699999999999998,1.0,0.0,9,0.022222222222222223,40291.0
CPI-23JUL,30,2023-07-11,30,2023-08-10,True,0.2,0.1315,0.18936142690632637,0.185,0.0685,1.0,0.0,8,0.07375,317.0
CPI-23JUL,14,2023-07-27,14,2023-08-10,True,0.2,0.2055,0.0949723644014405,0.43999999999999995,0.005499999999999977,1.0,0.0,4,0.03749999999999999,5374.0
CPI-23JUL,7,2023-08-03,7,2023-08-10,True,0.2,0.19125000000000003,0.10658769863356653,0.44499999999999995,0.00874999999999998,1.0,0.0,5,0.03199999999999999,150.0
CPI-23JUL,1,2023-08-09,1,2023-08-10,True,0.2,0.2025,0.1074418447347215,0.545,0.0025000000000000022,1.0,0.010000000000000002,8,0.03125,30505.0
CPI-23JUN,30,2023-06-12,30,2023-07-12,True,0.2,0.2345,0.14852525037851308,0.24,0.034499999999999975,1.0,0.0,6,0.041666666666666664,977.0
CPI-23JUN,14,2023-06-28,14,2023-07-12,True,0.2,0.19799999999999998,0.0999799979995999,0.43499999999999994,0.0020000000000000295,1.0,0.0,4,0.04999999999999999,957.0
CPI-23JUN,7,2023-07-05,7,2023-07-12,True,0.2,0.198,0.13340164916521835,0.39,0.0020000000000000018,1.0,0.0,7,0.03714285714285716,373.0
CPI-23JUN,1,2023-07-11,1,2023-07-12,True,0.2,0.18900000000000003,0.10478072341800279,0.375,0.010999999999999982,1.0,0.0,5,0.048,13391.0
CPI-23MAR,30,2023-03-13,30,2023-04-12,True,0.1,0.29700000000000004,0.14727864746798838,0.06999999999999995,0.19700000000000004,1.0,0.0,12,0.022499999999999992,3858.0
CPI-23MAR,14,2023-03-29,14,2023-04-12,True,0.1,0.217,0.09752435593224903,0.125,0.11699999999999999,1.0,0.0,4,0.024999999999999946,1837.0
CPI-23MAR,7,2023-04-05,7,2023-04-12,True,0.1,0.24950000000000003,0.09810581022549072,0.039999999999999925,0.14950000000000002,1.0,0.0,6,0.021666666666666678,5919.0
CPI-23MAR,1,2023-04-11,1,2023-04-12,True,0.1,0.224,0.10258654882585727,0.15999999999999992,0.124,1.0,0.0,6,0.02666666666666666,33505.0
CPI-23MAY,30,2023-05-14,30,2023-06-13,True,0.1,0.09,0.13784048752090225,0.3,0.010000000000000009,1.0,0.0,6,0.03666666666666669,394.0
CPI-23MAY,14,2023-05-30,14,2023-06-13,True,0.1,0.1325,0.10145811943851511,0.42500000000000004,0.0325,1.0,0.0,4,0.04250000000000001,4828.0
CPI-23MAY,7,2023-06-06,7,2023-06-13,True,0.1,0.138,0.13731715115017498,0.4600000000000001,0.038000000000000006,1.0,0.0,9,0.04222222222222221,19646.0
CPI-23MAY,1,2023-06-12,1,2023-06-13,True,0.1,0.123,0.1388200273735746,0.39,0.022999999999999993,1.0,0.0,8,0.039999999999999994,18717.0
CPI-23NOV,30,2023-11-12,30,2023-12-12,True,0.1,0.15400000000000003,0.17200000000000001,0.04000000000000004,0.05400000000000002,0.9999999999999999,0.0,4,0.72,0.0
CPI-23NOV,14,2023-11-28,14,2023-12-12,True,0.1,0.07300000000000001,0.08643494663618416,0.525,0.026999999999999996,1.0,0.0,5,0.03599999999999999,2866.0
CPI-23NOV,7,2023-12-05,7,2023-12-12,True,0.1,0.05350000000000001,0.08595202150036961,0.4750000000000001,0.04649999999999999,1.0,0.0,4,0.032499999999999994,550.0
CPI-23NOV,1,2023-12-11,1,2023-12-12,True,0.1,0.055999999999999994,0.08284926070883195,0.46499999999999997,0.04400000000000001,1.0,0.0,5,0.03999999999999997,9998.0
CPI-23OCT,30,2023-10-15,30,2023-11-14,True,0.0,0.138,0.12432216214336042,0.10999999999999988,0.138,1.0,0.015000000000000006,6,0.08,3746.0
CPI-23OCT,14,2023-10-31,14,2023-11-14,True,0.0,0.10875,0.10925171623365923,0.18000000000000005,0.10875,1.0,0.0,7,0.042857142857142864,311.0
CPI-23OCT,7,2023-11-07,7,2023-11-14,True,0.0,0.09600000000000002,0.08534635317340747,0.22499999999999998,0.09600000000000002,1.0,0.0,6,0.06333333333333337,654.0
CPI-23OCT,1,2023-11-13,1,2023-11-14,True,0.0,0.0965,0.11720814818091786,0.20999999999999996,0.0965,1.0,0.0,6,0.038333333333333344,5043.0
CPI-23SEP,30,2023-09-12,30,2023-10-12,True,0.4,0.2035,0.1193220432275613,0.08000000000000002,0.19650000000000004,0.9999999999999999,0.0,7,0.03857142857142859,2875.0
CPI-23SEP,14,2023-09-28,14,2023-10-12,True,0.4,0.3415,0.17952089014930828,0.4050000000000001,0.058499999999999996,1.0,0.0050000000000000044,10,0.05000000000000001,291.0
CPI-23SEP,7,2023-10-05,7,2023-10-12,True,0.4,0.34400000000000003,0.1160344776348823,0.4,0.055999999999999994,1.0,0.0,5,0.036000000000000004,1064.0
CPI-23SEP,1,2023-10-11,1,2023-10-12,True,0.4,0.32750000000000007,0.11222187843731718,0.32500000000000007,0.07249999999999995,0.9999999999999999,0.029999999999999916,7,0.045714285714285714,9289.0
CPI-24APR,30,2024-04-15,30,2024-05-15,True,0.3,0.41950000000000004,0.11861597700141412,0.19999999999999996,0.11950000000000005,1.0,0.0,8,0.048750000000000016,25.0
CPI-24APR,14,2024-05-01,14,2024-05-15,True,0.3,0.378,0.0990757286120067,0.39,0.07800000000000001,1.0,0.0,7,0.03142857142857144,504.0
CPI-24APR,7,2024-05-08,7,2024-05-15,True,0.3,0.3745,0.0888805378021533,0.345,0.07450000000000001,1.0,0.0,3,0.08333333333333331,793.0
CPI-24APR,1,2024-05-14,1,2024-05-15,True,0.3,0.374,0.11235657524150511,0.33000000000000007,0.07400000000000001,1.0,0.0,7,0.04857142857142859,20844.0
CPI-24AUG,30,2024-08-12,30,2024-09-11,True,0.2,0.19250000000000003,0.13926144477205452,0.44999999999999996,0.007499999999999979,1.0,0.0,8,0.08625,1100.0
CPI-24AUG,14,2024-08-28,14,2024-09-11,True,0.2,0.17800000000000002,0.0686731388535576,0.48,0.021999999999999992,1.0,0.0,2,0.05000000000000003,300.0
CPI-24AUG,7,2024-09-04,7,2024-09-11,True,0.2,0.16149999999999998,0.09522473418182904,0.33499999999999996,0.038500000000000034,1.0,0.0,4,0.12249999999999998,240.0
CPI-24AUG,1,2024-09-10,1,2024-09-11,True,0.2,0.1685,0.09928620246539799,0.505,0.0315,1.0,0.0,7,0.03857142857142859,7194.0
CPI-24FEB,30,2024-02-12,29,2024-03-12,True,0.4,0.32500000000000007,0.13105342422081157,0.30500000000000005,0.07499999999999996,1.0,0.0,8,0.04749999999999998,100.0
CPI-24FEB,14,2024-02-27,14,2024-03-12,True,0.4,0.43199999999999994,0.10037928073063684,0.44000000000000006,0.03199999999999992,1.0,0.0,4,0.06999999999999998,5.0
CPI-24FEB,7,2024-03-05,7,2024-03-12,True,0.4,0.4555,0.12111874338846158,0.2899999999999998,0.055499999999999994,1.0,0.0,8,0.07125000000000001,176.0
CPI-24FEB,1,2024-03-11,1,2024-03-12,True,0.4,0.45199999999999996,0.12716524682475164,0.30499999999999994,0.051999999999999935,1.0,0.0050000000000000044,10,0.06000000000000001,18518.0
CPI-24JAN,30,2024-01-14,30,2024-02-13,True,0.3,0.11250000000000002,0.14385322380815802,0.060000000000000005,0.18749999999999997,1.0,0.02499999999999991,6,0.09333333333333332,11.0
CPI-24JAN,14,2024-01-30,14,2024-02-13,True,0.3,0.0985,0.148484847711812,0.0,0.20149999999999998,1.0,0.09999999999999999,5,0.18600000000000003,0.0
CPI-24JAN,7,2024-02-06,7,2024-02-13,True,0.3,0.19024999999999997,0.10448654219563397,0.5249999999999999,0.10975000000000001,1.0,0.0,3,0.08,0.0
CPI-24JAN,1,2024-02-12,1,2024-02-13,True,0.3,0.16349999999999998,0.08841804114545855,0.05,0.1365,1.0,0.0,6,0.044999999999999984,6261.0
CPI-24JUL,30,2024-07-16,29,2024-08-14,True,0.2,0.1545,0.06913573605596457,0.6599999999999999,0.04550000000000001,1.0,0.0,2,0.22499999999999998,1157.0
CPI-24JUL,14,2024-07-31,14,2024-08-14,True,0.2,0.155,0.09578622030334011,0.3949999999999999,0.04500000000000001,1.0,0.0,4,0.05999999999999999,2046.0
CPI-24JUL,7,2024-08-07,7,2024-08-14,True,0.2,0.16300000000000003,0.10691585476438936,0.45000000000000007,0.03699999999999998,1.0,0.0,6,0.05999999999999999,710.0
CPI-24JUL,1,2024-08-13,1,2024-08-14,True,0.2,0.17400000000000004,0.09013323471394999,0.4900000000000001,0.025999999999999968,0.9999999999999999,0.0,5,0.036000000000000004,1269.0
CPI-24JUN,30,2024-06-12,29,2024-07-11,True,-0.1,0.07050000000000001,0.1402845322906271,0.15999999999999992,0.1705,1.0,0.0,8,0.06375,7083.0
