target_month,nowcast_date,cpi_mom_nowcast,cpi_mom_actual_clevelandfed
2014-04,2014-04-22,0.2248590165,
2014-04,2014-04-23,0.2248590165,
2014-04,2014-04-24,0.2248590165,
2014-04,2014-04-25,0.2248590165,
2014-04,2014-04-28,0.249140648,
2014-04,2014-04-29,0.249140648,
2014-04,2014-04-30,0.249140648,
2014-04,2014-05-01,0.249140648,
2014-04,2014-05-02,0.249140648,
2014-04,2014-05-05,0.249140648,
2014-04,2014-05-06,0.249140648,
2014-04,2014-05-07,0.249140648,
2014-04,2014-05-08,0.249140648,
2014-04,2014-05-09,0.249140648,
2014-04,2014-05-12,0.249140648,
2014-05,2014-05-01,0.0793790218,
2014-05,2014-05-02,0.0730182829,
2014-05,2014-05-05,0.1607040397,
2014-05,2014-05-06,0.1607040397,
2014-05,2014-05-07,0.1607040397,
2014-05,2014-05-08,0.1607040397,
2014-05,2014-05-09,0.1607040397,
2014-05,2014-05-12,0.1507058845,
2014-05,2014-05-13,0.1507058845,
2014-05,2014-05-14,0.1526021347,
2014-05,2014-05-15,0.1526021347,
2014-05,2014-05-16,0.1480268838,
2014-05,2014-05-19,0.1480268838,
2014-05,2014-05-20,0.1480268838,
2014-05,2014-05-21,0.1480268838,
2014-05,2014-05-22,0.1480268838,
2014-05,2014-05-23,0.1480268838,
2014-05,2014-05-27,0.1480268838,
2014-05,2014-05-28,0.1480268838,
2014-05,2014-05-29,0.1480268838,
2014-05,2014-05-30,0.1480268838,
2014-05,2014-06-02,0.1480268838,
2014-05,2014-06-03,0.1480268838,
2014-05,2014-06-04,0.1480268838,
2014-05,2014-06-05,0.1480268838,
2014-05,2014-06-06,0.1480268838,
2014-05,2014-06-09,0.1480268838,
2014-05,2014-06-10,0.1480268838,
2014-05,2014-06-11,0.1480268838,
2014-06,2014-06-02,0.210294402,
2014-06,2014-06-03,0.3057035976,
2014-06,2014-06-04,0.3057035976,
2014-06,2014-06-05,0.3057035976,
2014-06,2014-06-06,0.3057035976,
2014-06,2014-06-09,0.3057035976,
2014-06,2014-06-10,0.295287015,
2014-06,2014-06-11,0.295287015,
2014-06,2014-06-12,0.295287015,
2014-06,2014-06-13,0.295287015,
2014-06,2014-06-16,0.295287015,
2014-06,2014-06-17,0.3157115089,
2014-06,2014-06-18,0.3157115089,
2014-06,2014-06-19,0.3157115089,
2014-06,2014-06-20,0.3157115089,
2014-06,2014-06-23,0.3223892276,
2014-06,2014-06-24,0.3223892276,
2014-06,2014-06-25,0.322389,
2014-06,2014-06-26,0.3223892276,
2014-06,2014-06-27,0.3263958589,
2014-06,2014-06-30,0.3263958589,
2014-06,2014-07-01,0.3263958589,
2014-06,2014-07-02,0.3263958589,
2014-06,2014-07-03,0.3263958589,
2014-06,2014-07-07,0.3263958589,
2014-06,2014-07-08,0.3263958589,
2014-06,2014-07-09,0.3263958589,
2014-06,2014-07-10,0.3263958589,
2014-06,2014-07-11,0.3263958589,
2014-06,2014-07-14,0.3263958589,
2014-06,2014-07-15,0.3263958589,
2014-06,2014-07-16,0.3263958589,
2014-06,2014-07-17,0.3263958589,
2014-07,2014-07-01,0.1432167747,
2014-07,2014-07-02,0.1435382059,
2014-07,2014-07-03,0.1265023505,
2014-07,2014-07-07,0.1070557608,
2014-07,2014-07-08,0.2108173169,
2014-07,2014-07-09,0.2108173169,
2014-07,2014-07-10,0.2108173169,
2014-07,2014-07-11,0.2108173169,
2014-07,2014-07-14,0.2108173169,
